# id	left	top	right	bottom	texture_id
[SPRITES]
#UI HOLDER
1000000	0	0	255	63	81

#MAIN HUD
1000100	3	3	154	30	80

#POWER HUD SLOT EMPTY
1000200	163	3	186	30	80
1000201	187	33	210	60	80
1000202	211	33	234	60	80
1000203	235	33	258	60	80

#NUMBER HUD
1000300	33	31	40	38	80
1000301	43	31	50	38	80
1000302	53	31	60	38	80
1000303	63	31	70	38	80
1000304	73	31	80	38	80
1000305	83	31	90	38	80
1000306	93	31	100	38	80
1000307	103	31	110	38	80
1000308	113	31	120	38	80
1000309	123	31	130	38	80

#CHARACTER ICON UI
1000400	8	44	23	49	80
1000401	8	51	23	56	80

#POWER ICON UI
1000500	3	32	10	39	80
1000501	11	32	26	39	80
1000502	0	43	1	44	80

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
1000501	1000501	100	1000502	100
