# id	left	top	right	bottom	texture_id
[SPRITES]
#CLOUD BACKGROUND
900001	93	239	100	262	70
900002	102	239	109	262	70
900003	111	239	118	262	70
900004	120	239	127	262	70

#GRASS
901000	222	205	237	220	70

#BUSH PART
902000	137	1	152	16	70
902001	154	1	169	16	70

902100	137	18	152	33	70
902101	154	18	169	33	70

902200	137	35	152	50	70
902201	154	35	169	50	70

902300	137	52	152	67	70

#BLACK BUSH PART
903000	103	1	118	16	70
903001	120	1	135	16	70

903100	103	18	118	33	70
903101	120	18	135	33	70

903200	103	35	118	50	70
903201	120	35	135	50	70

#BLACK BACKGROUND
904000	120	52	135	67	70
904100	103	52	118	67	70



# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
