# id	left	top	right	bottom	texture_id
[SPRITES]
#PINK
52111	1	52	16	67	70
52112	18	52	33	67	70
52113	35	52	50	67	70

52114	1	69	16	84	70
52115	18	69	33	84	70
52116	35	69	50	84	70

52117	1	86	16	101	70
52118	18	86	33	101	70
52119	35	86	50	101	70


#BLUE
52211	52	52	67	67	70
52212	69	52	84	67	70
52213	86	52	101	67	70

52214	52	69	67	84	70
52215	69	69	84	84	70
52216	86	69	101	84	70

52217	52	86	67	101	70
52218	69	86	84	101	70
52219	86	86	101	101	70

#GREEN
52311	52	1	67	16	70
52312	69	1	84	16	70
52313	86	1	101	16	70

52314	52	18	67	33	70
52315	69	18	84	33	70
52316	86	18	101	33	70

52317	52	35	67	50	70
52318	69	35	84	50	70
52319	86	35	101	50	70


#WHITE
52411	1	1	16	16	70
52412	18	1	33	16	70
52413	35	1	50	16	70

52414	1	18	16	33	70
52415	18	18	33	33	70
52416	35	18	50	33	70

52417	1	35	16	50	70
52418	18	35	33	50	70
52419	35	35	50	50	70


# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
