# id	left	top	right	bottom	texture_id
[SPRITES]
#GRASS
88883000	4	310	19	325	8882
88883001	21	310	36	325	8882
88883002	38	310	53	325	8882
88883003	55	310	70	325	8882

#ROCK
88883010	72	310	87	325	8882

#WATER
88884001	0	0	0	0	8882
88884002	0	0	0	0	8882
88884003	0	0	0	0	8882
88884004	0	0	0	0	8882
88884005	0	0	0	0	8882
88884006	0	0	0	0	8882
88884007	0	0	0	0	8882
88884008	0	0	0	0	8882
88884009	0	0	0	0	8882
88884010	0	0	0	0	8882
88884011	0	0	0	0	8882
88884012	0	0	0	0	8882
88884013	0	0	0	0	8882
88884014	0	0	0	0	8882
88884015	0	0	0	0	8882
88884016	0	0	0	0	8882

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
88883000	88883000	100	88883001	100	88883002	100	88883003	100
